"Story","Title","Result","Date","Stability","Duration (s)"
"Product CURD with steps","This will create new product","SUCCESS","2023-01-01T22:46:40.543Z[Europe/London]","0.0","8.12"
"Product CURD with steps","Verify if the product was added to application","SUCCESS","2023-01-01T22:46:48.719Z[Europe/London]","0.0","0.18"
"Product CURD with steps","This will update product","SUCCESS","2023-01-01T22:46:48.900Z[Europe/London]","0.0","0.29"
"Product CURD with steps","This will delete product","SUCCESS","2023-01-01T22:46:49.194Z[Europe/London]","0.0","0.22"
